error, control
-374,-748
-367,-734
-360,-720
-353,-706
-346,-692
-338,-676
-331,-662
-324,-648
-317,-634
-310,-620
-302,-604
-295,-590
-288,-576
-281,-562
-274,-548
-266,-532
-259,-518
-252,-504
-245,-490
-237,-474
-230,-460
-230,-460
-223,-446
-216,-432
-209,-418
-201,-402
-194,-388
-187,-374
-180,-360
-173,-346
-165,-330
-158,-316
-151,-302
-151,-302
-144,-288
-137,-274
-129,-258
-122,-244
-122,-244
-115,-230
-108,-216
-108,-216
-100,-200
-93,-186
-93,-186
-86,-172
-79,-158
-79,-158
-72,-144
-72,-144
-64,-128
-64,-128
-57,-114
-57,-114
-50,-100
-43,-86
-32,-64
-27,-54
-15,-30
-10,-20
2,4
6,12
12,24
25,50
28,56
33,66
45,90
50,100
54,108
64,128
69,138
75,150
80,160
92,184
97,194
100,200
107,214
119,238
126,252
129,258
135,270
147,294
154,308
160,320
165,330
172,344
177,354
191,382
198,396
202,404
210,420
216,432
224,448
230,460
237,474
242,484
259,518
265,530
271,542
281,562
287,574
293,586
300,600
308,616
316,632
323,646
330,660
338,676
344,688
351,702
357,714
362,724
370,740
376,752
382,764
390,780
402,804
409,818
404,808
410,820
418,836
426,852
431,862
439,878
447,894
453,906
461,922
468,936
479,958
490,980
497,994
508,1016
517,1023
529,1023
536,1023
547,1023
557,1023
568,1023
578,1023
584,1023
592,1023
597,1023
604,1023
607,1023
611,1023
614,1023
617,1023
619,1023
621,1023
621,1023
621,1023
622,1023
622,1023
624,1023
615,1023
615,1023
614,1023
615,1023
615,1023
615,1023
615,1023
615,1023
615,1023
615,1023
615,1023
616,1023
614,1023
615,1023
615,1023
615,1023
614,1023
615,1023
616,1023
608,1023
607,1023
608,1023
608,1023
608,1023
608,1023
609,1023
608,1023
608,1023
609,1023
609,1023
608,1023
607,1023
609,1023
608,1023
610,1023
608,1023
608,1023
609,1023
608,1023
608,1023
601,1023
601,1023
603,1023
601,1023
602,1023
600,1023
601,1023
602,1023
601,1023
601,1023
601,1023
600,1023
602,1023
601,1023
602,1023
601,1023
601,1023
603,1023
602,1023
602,1023
601,1023
601,1023
601,1023
601,1023
602,1023
603,1023
603,1023
602,1023
602,1023
594,1023
596,1023
594,1023
594,1023
594,1023
594,1023
594,1023
595,1023
594,1023
594,1023
594,1023
594,1023
595,1023
594,1023
597,1023
594,1023
594,1023
594,1023
594,1023
593,1023
594,1023
595,1023
594,1023
596,1023
594,1023
593,1023
595,1023
596,1023
597,1023
601,1023
606,1023
610,1023
615,1023
622,1023
627,1023
636,1023
643,1023
652,1023
660,1023
668,1023
678,1023
688,1023
698,1023
708,1023
716,1023
726,1023
733,1023
744,1023
750,1023
757,1023
759,1023
769,1023
774,1023
781,1023
787,1023
794,1023
800,1023
805,1023
810,1023
814,1023
820,1023
824,1023
829,1023
831,1023
835,1023
838,1023
840,1023
844,1023
847,1023
849,1023
850,1023
852,1023
855,1023
859,1023
863,1023
866,1023
870,1023
873,1023
876,1023
881,1023
886,1023
890,1023
895,1023
900,1023
906,1023
912,1023
918,1023
925,1023
934,1023
939,1023
948,1023
955,1023
963,1023
968,1023
976,1023
981,1023
987,1023
993,1023
997,1023
1001,1023
1005,1023
1009,1023
1011,1023
1013,1023
1014,1023
1013,1023
1013,1023
1014,1023
1014,1023
1014,1023
1014,1023
1014,1023
1014,1023
1014,1023
1014,1023
1014,1023
1014,1023
1013,1023
1014,1023
1015,1023
1015,1023
1013,1023
1014,1023
1014,1023
1014,1023
1014,1023
1014,1023
1012,1023
1015,1023
1014,1023
1013,1023
1015,1023
1014,1023
1014,1023
1014,1023
1014,1023
1013,1023
1013,1023
1014,1023
1014,1023
1013,1023
1013,1023
1013,1023
1013,1023
1014,1023
1014,1023
1014,1023
1014,1023
1014,1023
1014,1023
1014,1023
1014,1023
1014,1023
1014,1023
1015,1023
1015,1023
1015,1023
1014,1023
1014,1023
1014,1023
1014,1023
1014,1023
1014,1023
1014,1023
