error, control
57,114
33,66
78,156
35,70
26,52
67,134
33,66
49,98
21,42
72,144
36,72
45,90
91,182
57,114
53,106
44,88
90,180
96,192
3,6
66,132
24,48
53,106
8,16
33,66
81,162
13,26
14,28
36,72
69,138
94,188
1,2
95,190
4,8
98,196
23,46
82,164
66,132
37,74
44,88
97,194
28,56
58,116
97,194
4,8
31,62
75,150
98,196
99,198
12,24
57,114
8,16
68,136
30,60
62,124
65,130
52,104
21,42
12,24
1,2
31,62
57,114
90,180
79,158
6,12
98,196
19,38
23,46
60,120
26,52
6,12
70,140
94,188
44,88
34,68
94,188
38,76
90,180
59,118
47,94
17,34
39,78
85,170
85,170
20,40
68,136
15,30
34,68
11,22
52,104
95,190
96,192
15,30
33,66
97,194
47,94
10,20
11,22
77,154
25,50
68,136
76,152
39,78
31,62
1,2
60,120
84,168
89,178
15,30
69,138
55,110
6,12
2,4
8,16
31,62
38,76
97,194
49,98
31,62
14,28
75,150
80,160
23,46
60,120
45,90
25,50
56,112
97,194
4,8
50,100
12,24
97,194
81,162
65,130
99,198
29,58
83,166
7,14
22,44
76,152
24,48
66,132
44,88
85,170
98,196
33,66
76,152
66,132
11,22
