error, control
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
10,100
26,260
41,410
59,590
80,800
133,1023
149,1023
171,1023
194,1023
214,1023
237,1023
261,1023
286,1023
314,1023
342,1023
364,1023
375,1023
378,1023
376,1023
375,1023
376,1023
376,1023
376,1023
376,1023
376,1023
375,1023
375,1023
374,1023
374,1023
373,1023
368,1023
365,1023
361,1023
359,1023
360,1023
360,1023
360,1023
362,1023
365,1023
365,1023
365,1023
365,1023
365,1023
367,1023
371,1023
376,1023
386,1023
397,1023
410,1023
424,1023
441,1023
460,1023
481,1023
505,1023
524,1023
539,1023
542,1023
531,1023
523,1023
518,1023
515,1023
514,1023
514,1023
514,1023
514,1023
514,1023
515,1023
515,1023
516,1023
518,1023
521,1023
529,1023
538,1023
548,1023
557,1023
564,1023
570,1023
576,1023
590,1023
607,1023
621,1023
642,1023
665,1023
690,1023
715,1023
734,1023
758,1023
779,1023
802,1023
826,1023
846,1023
858,1023
863,1023
864,1023
866,1023
865,1023
854,1023
837,1023
816,1023
788,1023
756,1023
724,1023
693,1023
667,1023
644,1023
639,1023
641,1023
641,1023
641,1023
642,1023
642,1023
641,1023
641,1023
641,1023
641,1023
641,1023
640,1023
640,1023
640,1023
641,1023
640,1023
642,1023
641,1023
641,1023
638,1023
630,1023
618,1023
601,1023
581,1023
560,1023
541,1023
522,1023
507,1023
501,1023
496,1023
491,1023
485,1023
470,1023
451,1023
425,1023
399,1023
377,1023
366,1023
364,1023
364,1023
370,1023
375,1023
384,1023
393,1023
395,1023
395,1023
395,1023
395,1023
395,1023
392,1023
389,1023
387,1023
387,1023
388,1023
389,1023
389,1023
390,1023
392,1023
393,1023
380,1023
375,1023
371,1023
365,1023
363,1023
363,1023
363,1023
363,1023
363,1023
363,1023
364,1023
365,1023
365,1023
365,1023
365,1023
365,1023
364,1023
367,1023
367,1023
367,1023
367,1023
367,1023
367,1023
363,1023
364,1023
349,1023
335,1023
319,1023
304,1023
288,1023
268,1023
243,1023
219,1023
195,1023
177,1023
163,1023
158,1023
155,1023
155,1023
155,1023
155,1023
155,1023
155,1023
155,1023
153,1023
143,1023
127,1023
104,1023
72,720
18,180
0,0
0,0
0,0
21,210
22,220
23,230
27,270
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
24,240
49,490
76,760
104,1023
158,1023
187,1023
212,1023
226,1023
235,1023
242,1023
244,1023
241,1023
232,1023
210,1023
168,1023
124,1023
74,740
2,20
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
22,220
61,610
106,1023
171,1023
214,1023
256,1023
288,1023
310,1023
332,1023
346,1023
352,1023
350,1023
336,1023
317,1023
277,1023
216,1023
146,1023
67,670
0,0
0,0
0,0
0,0
23,230
22,220
26,260
27,270
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
22,220
22,220
27,270
27,270
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
40,400
129,1023
191,1023
246,1023
296,1023
337,1023
360,1023
358,1023
322,1023
271,1023
202,1023
112,1023
67,670
0,0
0,0
0,0
0,0
37,370
36,360
37,370
38,380
37,370
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
34,340
35,350
34,340
35,350
39,390
39,390
1,10
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
37,370
34,340
40,400
86,860
134,1023
182,1023
227,1023
269,1023
304,1023
329,1023
350,1023
360,1023
364,1023
364,1023
364,1023
364,1023
362,1023
362,1023
363,1023
363,1023
358,1023
349,1023
329,1023
301,1023
261,1023
215,1023
163,1023
110,1023
58,580
0,0
0,0
0,0
32,320
31,310
32,320
32,320
31,310
1,10
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
35,350
32,320
32,320
32,320
35,350
36,360
0,0
0,0
