error, control
742,74
740,74
739,73
744,74
736,73
719,71
712,71
708,70
702,70
697,69
690,69
686,68
678,67
669,66
662,66
651,65
637,63
623,62
609,60
612,61
579,57
566,56
552,55
541,54
527,52
519,51
514,51
514,51
513,51
514,51
514,51
514,51
514,51
514,51
513,51
528,52
496,49
479,47
456,45
432,43
407,40
384,38
363,36
343,34
323,32
306,30
292,29
280,28
267,26
256,25
244,24
268,26
225,22
214,21
201,20
191,19
182,18
172,17
165,16
157,15
150,15
143,14
137,13
131,13
130,13
130,13
129,12
165,16
131,13
132,13
131,13
131,13
132,13
131,13
134,13
135,13
135,13
134,13
131,13
128,12
121,12
112,11
99,9
123,12
76,7
66,6
49,4
35,3
26,2
14,1
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
27,2
54,5
86,8
122,12
159,15
192,19
232,23
274,27
308,30
331,33
341,34
362,36
339,33
340,34
339,33
339,33
339,33
339,33
339,33
339,33
340,34
340,34
339,33
339,33
335,33
332,33
328,32
351,35
331,33
330,33
330,33
330,33
332,33
330,33
331,33
331,33
334,33
344,34
354,35
367,36
377,37
376,37
372,37
399,39
373,37
372,37
373,37
372,37
372,37
375,37
382,38
391,39
405,40
423,42
440,44
457,45
473,47
487,48
495,49
520,52
501,50
500,50
496,49
496,49
496,49
496,49
496,49
496,49
497,49
496,49
497,49
497,49
497,49
498,49
501,50
529,52
514,51
525,52
535,53
550,55
562,56
572,57
588,58
603,60
623,62
642,64
663,66
687,68
708,70
729,72
749,74
778,77
791,79
810,81
815,81
814,81
810,81
810,81
807,80
807,80
805,80
803,80
802,80
802,80
807,80
815,81
831,83
852,85
866,86
889,88
915,91
942,94
969,96
1000,100
1022,102
1023,102
1023,102
1023,102
1023,102
1023,102
1023,102
1023,102
1023,102
1022,102
1020,102
1023,102
1023,102
1023,102
1023,102
1023,102
1023,102
1023,102
1023,102
1023,102
1023,102
1023,102
1023,102
1023,102
1023,102
1020,102
1020,102
1021,102
1023,102
1023,102
1023,102
1023,102
1023,102
1023,102
1023,102
1023,102
1023,102
1023,102
1023,102
1023,102
1023,102
1022,102
1018,101
1001,100
974,97
946,94
917,91
886,88
858,85
835,83
817,81
804,80
798,79
796,79
796,79
796,79
799,79
804,80
797,79
802,80
813,81
831,83
858,85
885,88
915,91
958,95
1003,100
1023,102
1023,102
1023,102
1023,102
1023,102
1023,102
1022,102
1020,102
1021,102
1022,102
1023,102
1023,102
1023,102
1023,102
1023,102
1023,102
1023,102
1023,102
1023,102
1023,102
1023,102
1023,102
1022,102
1020,102
1023,102
1023,102
1023,102
1023,102
1023,102
1023,102
1022,102
1020,102
1023,102
1023,102
1023,102
1023,102
1021,102
1023,102
1022,102
1019,101
1005,100
962,96
922,92
872,87
824,82
787,78
761,76
752,75
751,75
751,75
752,75
753,75
756,75
759,75
765,76
757,75
752,75
743,74
727,72
707,70
690,69
678,67
674,67
675,67
674,67
674,67
675,67
675,67
676,67
677,67
686,68
674,67
669,66
661,66
648,64
635,63
622,62
606,60
586,58
557,55
523,52
482,48
440,44
409,40
391,39
384,38
407,40
386,38
386,38
386,38
386,38
385,38
381,38
372,37
358,35
330,33
297,29
266,26
227,22
185,18
152,15
116,11
82,8
58,5
47,4
46,4
47,4
46,4
47,4
48,4
47,4
46,4
48,4
47,4
47,4
47,4
46,4
48,4
48,4
48,4
47,4
47,4
48,4
47,4
48,4
48,4
47,4
48,4
48,4
47,4
48,4
47,4
48,4
47,4
47,4
47,4
48,4
48,4
47,4
48,4
47,4
47,4
49,4
47,4
48,4
47,4
48,4
47,4
47,4
47,4
49,4
47,4
48,4
48,4
48,4
48,4
48,4
48,4
48,4
47,4
48,4
47,4
48,4
48,4
47,4
47,4
48,4
48,4
48,4
48,4
48,4
47,4
48,4
46,4
48,4
48,4
48,4
48,4
48,4
48,4
48,4
51,5
61,6
77,7
105,10
135,13
169,16
213,21
264,26
318,31
371,37
418,41
455,45
473,47
474,47
469,46
465,46
465,46
483,48
465,46
465,46
465,46
465,46
467,46
471,47
474,47
480,48
493,49
511,51
535,53
564,56
589,58
608,60
629,62
659,65
666,66
685,68
700,70
705,70
705,70
706,70
706,70
705,70
706,70
706,70
705,70
705,70
711,71
722,72
738,73
762,76
781,78
808,80
830,83
855,85
885,88
917,91
958,95
1001,100
1023,102
1023,102
1023,102
1023,102
1023,102
1023,102
1023,102
1020,102
1018,101
1022,102
1023,102
1023,102
1023,102
1023,102
1023,102
1023,102
1023,102
1023,102
1023,102
1023,102
1023,102
1023,102
