error, control
45,45
91,91
57,57
53,53
44,44
90,90
96,96
3,3
66,66
24,24
53,53
8,8
33,33
81,81
13,13
14,14
36,36
69,69
94,94
1,1
95,95
4,4
98,98
23,23
82,82
66,66
37,37
44,44
97,97
28,28
58,58
97,97
4,4
31,31
75,75
98,98
99,99
12,12
57,57
8,8
68,68
30,30
62,62
65,65
52,52
21,21
12,12
1,1
31,31
57,57
90,90
79,79
6,6
98,98
19,19
23,23
60,60
26,26
6,6
70,70
94,94
44,44
34,34
94,94
38,38
90,90
59,59
47,47
17,17
39,39
85,85
85,85
20,20
68,68
15,15
34,34
11,11
52,52
95,95
96,96
15,15
33,33
97,97
47,47
10,10
11,11
77,77
25,25
68,68
76,76
39,39
31,31
1,1
60,60
84,84
89,89
15,15
69,69
55,55
6,6
2,2
8,8
31,31
38,38
97,97
49,49
31,31
14,14
75,75
80,80
23,23
60,60
45,45
25,25
56,56
97,97
4,4
50,50
12,12
97,97
81,81
65,65
99,99
29,29
83,83
7,7
22,22
76,76
24,24
66,66
44,44
85,85
98,98
33,33
76,76
66,66
11,11
14,14
37,37
91,91
62,62
97,97
88,88
73,73
4,4
0,0
60,60
47,47
30,30
46,46
38,38
26,26
57,57
14,14
60,60
18,18
85,85
15,15
2,2
43,43
67,67
69,69
3,3
3,3
85,85
59,59
30,30
32,32
3,3
20,20
31,31
3,3
20,20
58,58
76,76
34,34
79,79
74,74
42,42
71,71
79,79
70,70
23,23
71,71
18,18
99,99
21,21
24,24
58,58
71,71
60,60
51,51
3,3
1,1
80,80
74,74
13,13
25,25
83,83
17,17
50,50
95,95
11,11
66,66
93,93
65,65
42,42
52,52
41,41
0,0
27,27
87,87
25,25
17,17
42,42
74,74
73,73
11,11
54,54
29,29
89,89
56,56
60,60
92,92
16,16
67,67
39,39
1,1
16,16
71,71
71,71
45,45
40,40
53,53
50,50
63,63
33,33
27,27
31,31
16,16
15,15
1,1
61,61
24,24
36,36
15,15
16,16
73,73
20,20
69,69
27,27
28,28
84,84
49,49
46,46
66,66
20,20
91,91
58,58
44,44
18,18
25,25
89,89
14,14
18,18
29,29
27,27
54,54
96,96
83,83
65,65
52,52
76,76
75,75
10,10
92,92
47,47
99,99
15,15
79,79
64,64
1,1
89,89
33,33
89,89
17,17
38,38
38,38
21,21
96,96
88,88
87,87
35,35
84,84
84,84
67,67
15,15
76,76
25,25
31,31
98,98
39,39
3,3
65,65
7,7
65,65
54,54
50,50
32,32
41,41
77,77
0,0
65,65
22,22
17,17
48,48
29,29
8,8
57,57
52,52
21,21
96,96
30,30
55,55
12,12
27,27
44,44
98,98
56,56
3,3
14,14
66,66
21,21
52,52
19,19
10,10
