error, control
-161,-257
-153,-244
-147,-235
-141,-225
-133,-212
-125,-200
-119,-190
-111,-177
-104,-166
-97,-155
-88,-140
-83,-132
-74,-118
-68,-108
-61,-97
-53,-84
-46,-73
-39,-62
-32,-51
-23,-36
-17,-27
-10,-16
-3,-4
4,6
12,19
20,32
19,30
26,41
33,52
40,64
50,80
56,89
64,102
64,102
73,116
78,124
90,144
93,148
101,161
111,177
124,198
129,206
139,222
150,240
153,244
163,260
166,265
176,281
187,299
191,305
201,321
205,328
215,344
220,352
230,368
232,371
246,393
249,398
259,414
264,422
264,422
274,438
280,448
291,465
293,468
298,476
310,496
313,500
317,507
332,531
335,536
342,547
347,555
363,580
366,585
370,592
382,611
389,622
396,633
402,643
409,654
422,675
431,689
436,697
443,708
446,713
451,721
464,742
470,752
478,764
485,776
489,782
494,790
499,798
506,809
522,835
530,848
536,857
547,875
555,888
564,902
570,912
578,924
588,940
598,956
606,969
615,984
623,996
633,1012
639,1022
646,1023
653,1023
655,1023
662,1023
672,1023
679,1023
687,1023
696,1023
704,1023
710,1023
719,1023
726,1023
730,1023
737,1023
746,1023
752,1023
756,1023
762,1023
769,1023
775,1023
781,1023
783,1023
787,1023
790,1023
791,1023
793,1023
795,1023
796,1023
795,1023
796,1023
797,1023
797,1023
796,1023
796,1023
796,1023
799,1023
797,1023
797,1023
795,1023
796,1023
797,1023
796,1023
796,1023
790,1023
789,1023
790,1023
789,1023
790,1023
790,1023
789,1023
791,1023
791,1023
792,1023
791,1023
791,1023
789,1023
790,1023
791,1023
792,1023
791,1023
791,1023
791,1023
790,1023
784,1023
784,1023
783,1023
784,1023
782,1023
784,1023
785,1023
783,1023
784,1023
783,1023
784,1023
784,1023
785,1023
784,1023
784,1023
784,1023
784,1023
784,1023
784,1023
784,1023
785,1023
778,1023
779,1023
780,1023
781,1023
784,1023
786,1023
786,1023
789,1023
792,1023
796,1023
799,1023
802,1023
807,1023
811,1023
814,1023
818,1023
822,1023
828,1023
834,1023
837,1023
844,1023
848,1023
853,1023
859,1023
863,1023
868,1023
874,1023
878,1023
884,1023
892,1023
898,1023
897,1023
904,1023
911,1023
919,1023
926,1023
935,1023
944,1023
953,1023
963,1023
971,1023
979,1023
987,1023
995,1023
1004,1023
1012,1023
1012,1023
1012,1023
1012,1023
1015,1023
1014,1023
1013,1023
1013,1023
1012,1023
1012,1023
1012,1023
1012,1023
1012,1023
1012,1023
1012,1023
1014,1023
1012,1023
1011,1023
1011,1023
1012,1023
1012,1023
1012,1023
1012,1023
1011,1023
1011,1023
1013,1023
1013,1023
1012,1023
1014,1023
1014,1023
1012,1023
