error, control
-650,-1023
-588,-1023
-588,-1023
-588,-1023
-588,-1023
-588,-1023
-589,-1023
-589,-1023
-588,-1023
-589,-1023
-589,-1023
-589,-1023
-589,-1023
-589,-1023
-587,-1023
-588,-1023
-589,-1023
-589,-1023
-589,-1023
-589,-1023
-588,-1023
-589,-1023
-589,-1023
-588,-1023
-589,-1023
-587,-1023
-588,-1023
-589,-1023
-589,-1023
-589,-1023
-588,-1023
-589,-1023
-589,-1023
-589,-1023
-589,-1023
-588,-1023
-589,-1023
-589,-1023
-588,-1023
-588,-1023
-589,-1023
-589,-1023
-573,-1023
-553,-1023
-531,-1023
-508,-1016
-484,-968
-517,-1023
-437,-874
-464,-928
-437,-874
-369,-738
-395,-790
-329,-658
-356,-712
-293,-586
-277,-554
-305,-610
-249,-498
-236,-472
-260,-520
-241,-482
-224,-448
-174,-348
-190,-380
-172,-344
-123,-246
-135,-270
-84,-168
-66,-132
-73,-146
-27,-54
-33,-66
-13,-26
5,10
18,36
34,68
48,96
61,122
74,148
86,172
99,198
114,228
138,276
154,308
168,336
182,364
190,380
197,394
190,380
189,378
187,374
183,366
180,360
182,364
180,360
179,358
179,358
181,362
189,378
193,386
202,404
218,436
237,474
259,518
288,576
320,640
355,710
372,744
371,742
373,746
370,740
372,744
373,746
373,746
373,746
373,746
373,746
373,746
373,746
373,746
372,744
371,742
373,746
373,746
370,740
373,746
372,744
373,746
373,746
373,746
373,746
373,746
373,746
373,746
373,746
373,746
373,746
373,746
373,746
373,746
369,738
373,746
366,732
345,690
327,654
304,608
279,558
253,506
226,452
197,394
167,334
123,246
90,180
56,112
24,48
-3,-6
-33,-66
-57,-114
-80,-160
-82,-164
-99,-198
-117,-234
-128,-256
-162,-324
-164,-328
-164,-328
-163,-326
-139,-278
-163,-326
-163,-326
-162,-324
-163,-326
-138,-276
-165,-330
-163,-326
-163,-326
-165,-330
-142,-284
-145,-290
-152,-304
-159,-318
-197,-394
-178,-356
-218,-436
-227,-454
-212,-424
-253,-506
-234,-468
-246,-492
-255,-510
-266,-532
-309,-618
-320,-640
-331,-662
-338,-676
-311,-622
-352,-704
-323,-646
-361,-722
-364,-728
-331,-662
-365,-730
-366,-732
-365,-730
-365,-730
-364,-728
-365,-730
-365,-730
-366,-732
-365,-730
-365,-730
-364,-728
-365,-730
-367,-734
-364,-728
-365,-730
-365,-730
-364,-728
-330,-660
-356,-712
-317,-634
-346,-692
-340,-680
-303,-606
-302,-604
-303,-606
-302,-604
-299,-598
-302,-604
-301,-602
-301,-602
-300,-600
-332,-664
-298,-596
-296,-592
-292,-584
-290,-580
-319,-638
-317,-634
-315,-630
-314,-628
-281,-562
-306,-612
-274,-548
-303,-606
-269,-538
-268,-536
-296,-592
-261,-522
-286,-572
-286,-572
-252,-504
-249,-498
-246,-492
-243,-486
-272,-544
-240,-480
-236,-472
-230,-460
-229,-458
-255,-510
-222,-444
-247,-494
-214,-428
-211,-422
-234,-468
-202,-404
-195,-390
-191,-382
-185,-370
-207,-414
-201,-402
-168,-336
-189,-378
-156,-312
-175,-350
-167,-334
-160,-320
-151,-302
-118,-236
-132,-264
-100,-200
-88,-176
-101,-202
-67,-134
-78,-156
-65,-130
-34,-68
-42,-84
-30,-60
-18,-36
-6,-12
8,16
17,34
27,54
34,68
36,72
38,76
38,76
38,76
37,74
38,76
37,74
38,76
37,74
39,78
49,98
37,74
38,76
37,74
37,74
37,74
38,76
37,74
38,76
38,76
38,76
36,72
37,74
37,74
37,74
39,78
55,110
53,106
68,136
85,170
107,214
131,262
159,318
183,366
207,414
230,460
254,508
278,556
305,610
330,660
